polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,successful
106,Terephthaloyl Chloride,1000,"1,5-hexadiene-3,5-diol",511.101,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
107,Isophthaloyl Chloride,1000,"trans-p-menth-6-ene-2,8diol",762.352,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
108,Terephthaloyl Chloride,1000,"trans-p-menth-6-ene-2,8diol",762.352,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
109,Malonyl Chloride,1000,"trans-p-menth-6-ene-2,8diol",1098.07,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
110,Azelaoyl chloride,1000,"trans-p-menth-6-ene-2,8diol",687.543,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
111,Sebacoyl Chloride,1545.1,"trans-p-menth-6-ene-2,8diol",1000,,305.41,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
112,Terephthaloyl Chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",636.749,,232.83,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
113,Sebacoyl Chloride,924.976,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,,361.581,pyridine,0,,,,,,,,,,,,,0,DMF; hexanes,15,0
114,Azelaoyl chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",574.265,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
115,Malonyl Chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",917.153,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
116,Adipoyl Chloride,1000,"2,5-dimethyl-3-hexyne-2,5-diol",706.293,,258.259,NaOH,0,,,,,,,,,,,,,0,Water; cylcohexane,15,0
117,Malonyl Chloride,1000,"1,5-hexadiene-3,5-diol",736.173,,335.361,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
