Unsuccessful Combination Attempt Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
72,Monomer,Oxalyl Chloride,557.8894794,
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1000,
,Base,NaOH,207.7600192,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
73,Monomer,Oxalyl Chloride,2249.444176,
,Monomer,ethylene glycol,1000,
,Base,NaOH,837.7009828,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
74,Monomer,Oxalyl Chloride,1549.26655,
,Monomer,"1,4-Butanediol",1000,
,Base,NaOH,576.9523535,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
75,Monomer,Oxalyl Chloride,1181.501546,
,Monomer,"1,6-Hexanediol",1000,
,Base,NaOH,439.9953628,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
76,Monomer,Oxalyl Chloride,1549.300932,
,Monomer,"2-Methyl-1,3-propanediol",1000,
,Base,NaOH,576.9651576,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
77,Monomer,Oxalyl Chloride,871.2823713,
,Monomer,"2-Butyl-2-ethyl-1,3-propanediol",1000,
,Base,NaOH,324.4686427,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
78,Monomer,Oxalyl Chloride,1181.443561,
,Monomer,"3-methyl-1,5-pentanediol",1000,
,Base,NaOH,439.9737688,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
79,Monomer,Succinyl Chloride,492.0108523,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000,
,Base,NaOH,150.0738881,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
80,Monomer,Succinyl Chloride,1606.360724,
,Monomer,diethylene glycol,1000,
,Base,NaOH,489.9745571,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
81,Monomer,Succinyl Chloride,1135.160152,
,Monomer,triethylene glycol,1000,
,Base,NaOH,346.248252,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
82,Monomer,Isophthaloyl Chloride,785.2667112,
,Monomer,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000,
,Base,pyridine,361.5809276,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
83,Monomer,Isophthaloyl Chloride,1689.273828,
