polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,solubility,physical_state,biodegradability,solubility_label,biodegradability_label
458,Succinic acid,1000,"1,4-Dithiane-2,5-diol",1289.19,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,yes,0,1
459,"quinoline-2,4-dicarboxylic acid",1000,Tripropylene glycol,929.47,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
460,"quinoline-2,4-dicarboxylic acid",1000,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1106.82,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
461,"quinoline-2,4-dicarboxylic acid",1000,"1,4-Cyclohexanediol",561.59,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
462,"quinoline-2,4-dicarboxylic acid",1000,"2,2,4-Trimethyl-1,3-pentanediol",740.14,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
463,"quinoline-2,4-dicarboxylic acid",1000,"2,2-Dimethyl-1,3-propanediol",527.5,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
464,"quinoline-2,4-dicarboxylic acid",1000,"2-Methyl-1,3-propanediol",456.45,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,yes,1,1
465,"quinoline-2,4-dicarboxylic acid",1000,"1,2-Propanediol",385.39,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,fluid,yes,0,1
466,"quinoline-2,4-dicarboxylic acid",1000,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",949,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,fluid,yes,0,1
467,"quinoline-2,4-dicarboxylic acid",1000,"2,2-Diethyl-1,3-propanediol",669.58,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,yes,1,1
468,"2,2′-Thiodiacetic acid",1000,"2-Methyl-1,3-propanediol",660.22,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
469,"quinoline-2,4-dicarboxylic acid",1000,"2-Butyl-2-ethyl-1,3-propanediol",774.76,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,crystalline,yes,1,1
470,"quinoline-2,4-dicarboxylic acid",1000,"1,10-decanediol",810.49,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,yes,1,1
471,"quinoline-2,4-dicarboxylic acid",1000,"1,9-nonanediol",774.76,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
472,"quinoline-2,4-dicarboxylic acid",1000,"1,8-octanediol",706.96,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,no,1,0
473,"quinoline-2,4-dicarboxylic acid",1000,"1,6-Hexanediol",571.32,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,yes,fluid,no,1,0
474,"quinoline-2,4-dicarboxylic acid",1000,"1,5-pentanediol",503.52,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,yes,0,1
475,"quinoline-2,4-dicarboxylic acid",1000,"1,4-Butanediol",435.71,,,,,0,Ti(Opr)4,0.05,,,,,,,,,,,,,no,solid,no,0,0
