Polymer Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,monomer,"1,3-Propanediol",227.30,
,catalyst,Ti(Opr)4,,0.02
,catalyst,TBT,,0.02
,,,,
487,monomer,"2,5-furandicarboxylic acid methyl ester",500.00,
,monomer,"2-Methyl-1,3-propanediol",269.20,
,catalyst,Ti(Opr)4,,0.02
,catalyst,TBT,,0.02
,,,,
488,monomer,sebacic acid,1000.00,
,monomer,"1,4-Cyclohexanediol",648.01,
,catalyst,Ti(Opr)4,,0.05
,,,,
489,monomer,"2,5-furandicarboxylic acid methyl ester",500.00,
,monomer,"1,4-Cyclohexanediol",346.90,
,catalyst,Ti(Opr)4,,0.02
,catalyst,TBT,,0.02
,,,,
490,monomer,Diglycolic acid,1000.00,
,monomer,"1,4-Cyclohexanediol",909.62,
,catalyst,Ti(Opr)4,,0.05
,,,,
491,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000.00,
,monomer,"1,4-Cyclohexanediol",828.98,
,catalyst,Ti(Opr)4,,0.05
,,,,
492,monomer,glutaric acid,1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",1050.64,
,catalyst,Ti(Opr)4,,0.05
,,,,
493,monomer,pimelic acid,1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",866.64,
,catalyst,Ti(Opr)4,,0.05
,,,,
494,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",924.48,
,catalyst,Ti(Opr)4,,0.05
,,,,
495,monomer,sebacic acid,1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",737.49,
,catalyst,Ti(Opr)4,,0.05
,,,,
496,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",806.19,
,catalyst,Ti(Opr)4,,0.05
,,,,
497,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",943.45,
,catalyst,Ti(Opr)4,,0.05
,,,,
498,monomer,glutaric acid,1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1559.98,
,catalyst,Ti(Opr)4,,0.05
,,,,
499,monomer,pimelic acid,1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1286.79,
,catalyst,Ti(Opr)4,,0.05
,,,,
500,monomer,Isophthalic acid,1000.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",974.13,
,catalyst,Ti(Opr)4,,0.05
,,,,
501,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1372.66,
,catalyst,Ti(Opr)4,,0.05
,,,,
502,monomer,azelaic acid,1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1095.02,
,catalyst,Ti(Opr)4,,0.05
,,,,
503,monomer,sebacic acid,1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1019.06,
,catalyst,Ti(Opr)4,,0.05
,,,,
504,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1400.83,
,catalyst,Ti(Opr)4,,0.05
,,,,
505,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",953.35,
,catalyst,Ti(Opr)4,,0.05
,,,,
506,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"2-Methyl-1,3-propanediol",556.48,
,catalyst,Ti(Opr)4,,0.05
,,,,
507,monomer,Isophthalic acid,1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",889.02,
,catalyst,Ti(Opr)4,,0.05
,,,,
508,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"3-methyl-1,5-pentanediol",729.75,
,catalyst,Ti(Opr)4,,0.05
,,,,
509,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"1,4-Cyclohexanediol",717.28,
,catalyst,Ti(Opr)4,,0.05
,,,,
510,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",816.32,
,catalyst,Ti(Opr)4,,0.05
,,,,
511,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1156.98,
,catalyst,Ti(Opr)4,,0.05
,,,,
512,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"2,3-Butanediol",549.58,
,catalyst,Ti(Opr)4,,0.05
,,,,
513,monomer,Diglycolic acid,1000.00,
,monomer,"2,3-Butanediol",705.71,
,catalyst,Ti(Opr)4,,0.05
,,,,
514,monomer,glutaric acid,1000.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",1189.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
515,monomer,pimelic acid,1000.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",998.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
516,monomer,azelaic acid,1000.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",860.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
517,monomer,Isophthalic acid,2000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",1253.84,
,catalyst,Ti(Opr)4,,0.05
,,,,
518,monomer,sebacic acid,1000.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",800.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
519,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",900.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
520,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"2-Butyl-2-ethyl-1,3-propanediol",741.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
521,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",728.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
522,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",614.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
523,monomer,[(Carboxymethyl)(methyl)amino]acetic acid,1000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",370.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
524,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"1,3-Propanediol",549.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
525,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"1,3-Propanediol",464.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
526,monomer,sebacic acid,1000.00,
,monomer,"3-methyl-1,5-pentanediol",541.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
527,monomer,Isophthalic acid,2000.00,
,monomer,"1,4-Cyclohexanedimethanol",1753.47,
,catalyst,Ti(Opr)4,,0.05
,,,,
528,monomer,azelaic acid,1000.00,
,monomer,"2,2-Diethyl-1,3-propanediol",756.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
529,monomer,azelaic acid,1000.00,
,monomer,"2,3-Butanediol",519.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
530,monomer,sebacic acid,1000.00,
,monomer,"2,3-Butanediol",468.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
531,monomer,glutaric acid,1000.00,
,monomer,"1,2-Propanediol",846.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
532,monomer,pimelic acid,1000.00,
,monomer,"1,2-Propanediol",501.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
533,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"1,2-Propanediol",535.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
534,monomer,azelaic acid,1000.00,
,monomer,"1,2-Propanediol",425.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
535,monomer,sebacic acid,1000.00,
,monomer,"1,2-Propanediol",723.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
536,monomer,sebacic acid,1000.00,
,monomer,ethylene glycol,310.00,
,catalyst,Ti(Opr)4,0.00,0.05
,,,,
537,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,ethylene glycol,301.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
538,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,ethylene glycol,301.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
539,monomer,glutaric acid,1000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",845.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
540,monomer,pimelic acid,1000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",683.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
541,monomer,azelaic acid,1000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",592.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
542,monomer,sebacic acid,1000.00,
,monomer,"2,2-Dimethyl-1,3-propanediol",520.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
543,monomer,sebacic acid,1000.00,
,monomer,"1,3-Propanediol",380.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
544,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"1,3-Propanediol",449.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
545,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"1,3-Propanediol",370.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
546,monomer,Isophthalic acid,1000.00,
,monomer,"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.02,6]decane",1240.69,
,catalyst,Ti(Opr)4,,0.05
,,,,
547,monomer,"1,4-Cyclohexanedicarboxylic acid",1000.00,
,monomer,"1,2-Propanediol",458.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
548,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"1,2-Propanediol",370.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
549,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1417.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
550,monomer,"2,6-Naphthalenedicarboxylic Acid",1000.00,
,monomer,"4,4′-Isopropylidenedicyclohexanol, mixture of isomers",1167.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
551,monomer,glutaric acid,1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",1096.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
552,monomer,"2,2′-Thiodiacetic acid",1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",974.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
553,monomer,"2,2′-[ethylenebis(oxy)] bisacetic acid",1000.00,
,monomer,"2,2,4-Trimethyl-1,3-pentanediol",886.00,
,catalyst,Ti(Opr)4,,0.05
,,,,
554,Monomer,Epsilon-Caprolactone,1000.00,
,Catalyst,TBD,6.10,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,18.95,
,Quenching agent,Benzoic Acid,43.81,
,,,,
555,Monomer,e-Decalactone,461.93,
,Monomer,Undecanoic delta-lactone,1000.00,
,Catalyst,triphenyl bismuth,71.68,
,Co-Catalyst,tin octoate,21.98,
,,,,
556,Monomer,e-Decalactone,544.90,
,Monomer,Delta-nonalactone,1000.00,
,Catalyst,triphenyl bismuth,84.55,
,Co-Catalyst,tin octoate,25.92,
,,,,
557,Monomer,e-Decalactone,354.13,
,Monomer,pentadecanolide,1000.00,
,Catalyst,triphenyl bismuth,54.95,
,Co-Catalyst,tin octoate,16.85,
,,,,
558,Monomer,e-Decalactone,988.79,
,Monomer,B-butyrolactone,1000.00,
,Catalyst,triphenyl bismuth,153.43,
,Co-Catalyst,tin octoate,47.04,
,,,,
559,Monomer,e-Decalactone,429.27,
,Monomer,5-Dodecanolide,1000.00,
,Catalyst,triphenyl bismuth,66.61,
,Co-Catalyst,tin octoate,20.42,
,,,,
560,Monomer,e-Decalactone,334.60,
,Monomer,16--hexadecanolide,1000.00,
,Catalyst,triphenyl bismuth,51.92,
,Co-Catalyst,tin octoate,15.92,
,,,,
561,Monomer,e-Caprolactone,335.21,
,Monomer,e-Decalactone,1000.00,
,Catalyst,triphenyl bismuth,77.58,
,Co-Catalyst,tin octoate,23.79,
,,,,
562,Monomer,delta-Valerolactone,294.04,
,Monomer,e-Decalactone,1000.00,
,Catalyst,triphenyl bismuth,77.58,
,Co-Catalyst,tin octoate,23.79,
,,,,
563,Monomer,Epsilon-Caprolactone,491.69,
,Monomer,Glycolide,1000.00,
,Catalyst,TBD,8.99,
,Initiator,Benzyl Alcohol,18.63,
,,,,
564,Monomer,e-Decalactone,745.79,
,Monomer,e-Caprolactone,1000.00,
,Catalyst,triphenyl bismuth,115.72,
,Co-Catalyst,tin octoate,35.48,
,,,,
565,Monomer,e-Decalactone,850.23,
,Monomer,delta-Valerolactone,1000.00,
,Catalyst,triphenyl bismuth,131.93,
,Co-Catalyst,tin octoate,40.45,
,,,,
566,Monomer,Massoia Lactone,736.95,
,Monomer,e-caprolactone,1000.00,
,Catalyst,triphenyl bismuth,115.72,
,Co-Catalyst,tin octoate,35.48,
,,,,
567,Monomer,pentadecanolide,1053.01,
,Monomer,e-caprolactone,1000.00,
,Catalyst,triphenyl bismuth,115.72,
,Co-Catalyst,tin octoate,35.48,
,,,,
568,Monomer,B-butyrolactone,377.12,
,Monomer,e-caprolactone,1000.00,
,Catalyst,triphenyl bismuth,115.72,
,Co-Catalyst,tin octoate,35.48,
,,,,
569,Monomer,Glycolide,508.45,
,Monomer,Epsilon-Caprolactone,1000.00,
,Catalyst,TBD,9.15,
,Initiator,Benzyl Alcohol,18.95,
,,,,
570,Monomer,e-caprolactone,237.42,
,Monomer,pentadecanolide,1000.00,
,Catalyst,triphenyl bismuth,54.95,
,Co-Catalyst,tin octoate,16.85,
,,,,
571,Monomer,e-caprolactone,662.91,
,Monomer,B-butyrolactone,1000.00,
,Catalyst,triphenyl bismuth,153.43,
,Co-Catalyst,tin octoate,47.04,
,,,,
572,Monomer,B-propiolactone,1000.00,
,Catalyst,TBD,9.66,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,30.01,
,Quenching agent,Benzoic Acid,69.39,
,,,,
573,Monomer,massoia lactone,349.93,
,Monomer,pentadecanolide,1000.00,
,Catalyst,triphenyl bismuth,54.95,
,Co-Catalyst,tin octoate,16.85,
,,,,
574,Monomer,massoia lactone,330.63,
,Monomer,16--hexadecanolide,1000.00,
,Catalyst,triphenyl bismuth,51.92,
,Co-Catalyst,tin octoate,15.92,
,,,,
575,Monomer,Delta-Valerolactone,1000.00,
,Catalyst,TBD,6.95,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,21.60,
,Quenching agent,Benzoic Acid,49.94,
,,,,
576,Monomer,massoia lactone,840.14,
,Monomer,delta-Valerolactone,1000.00,
,Catalyst,triphenyl bismuth,131.93,
,Co-Catalyst,tin octoate,40.45,
,,,,
577,Monomer,B-propiolactone,315.66,
,Monomer,Epsilon-Caprolactone,1000.00,
,Catalyst,TBD,9.15,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,18.95,
,Quenching agent,Benzoic Acid,43.81,
,,,,
578,Monomer,Epsilon-Caprolactone,791.98,
,Monomer,B-propiolactone,1000.00,
,Catalyst,TBD,14.49,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,30.01,
,Quenching agent,Benzoic Acid,69.39,
,,,,
579,Monomer,Delta-Valerolactone,438.58,
,Monomer,Epsilon-Caprolactone,1000.00,
,Catalyst,TBD,9.15,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,18.95,
,Quenching agent,Benzoic Acid,43.81,
,,,,
580,Monomer,B-butyrolactone,179.07,
,Monomer,pentadecanolide,1000.00,
,Catalyst,triphenyl bismuth,54.95,
,Co-Catalyst,tin octoate,16.85,
,,,,
581,Monomer,Epsilon-Caprolactone,570.02,
,Monomer,Delta-Valerolactone,1000.00,
,Catalyst,TBD,10.43,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,21.60,
,Quenching agent,Benzoic Acid,49.94,
,,,,
582,Monomer,pentadecanolide,1396.10,
,Monomer,B-butyrolactone,1000.00,
,Catalyst,triphenyl bismuth,153.43,
,Co-Catalyst,tin octoate,47.04,
,,,,
583,Monomer,delta-Valerolactone,208.25,
,Monomer,pentadecanolide,1000.00,
,Catalyst,triphenyl bismuth,54.95,
,Co-Catalyst,tin octoate,16.85,
,,,,
584,Monomer,pentadecanolide,1200.46,
,Monomer,delta-Valerolactone,1000.00,
,Catalyst,triphenyl bismuth,131.93,
,Co-Catalyst,tin octoate,40.45,
,,,,
585,Monomer,delta-Valerolactone,581.48,
,Monomer,b-butryolactone,1000.00,
,Catalyst,triphenyl bismuth,153.43,
,Co-Catalyst,tin octoate,47.04,
,,,,
586,Monomer,Delta-Valerolactone,694.70,
,Monomer,B-propiolactone,1000.00,
,Catalyst,TBD,14.49,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,30.01,
,Quenching agent,Benzoic Acid,69.39,
,,,,
587,Monomer,b-butryolactone,429.93,
,Monomer,delta-Valerolactone,1000.00,
,Catalyst,triphenyl bismuth,131.93,
,Co-Catalyst,tin octoate,40.45,
,,,,
588,Monomer,B-propiolactone,359.87,
,Monomer,Delta-Valerolactone,1000.00,
,Catalyst,TBD,10.43,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,21.60,
,Quenching agent,Benzoic Acid,49.94,
,,,,
589,Monomer,Glycolide,805.37,
,Monomer,B-propiolactone,1000.00,
,Catalyst,TBD,14.49,
,Initiator,Benzyl Alcohol,30.01,
,,,,
590,Monomer,B-propiolactone,310.42,
,Monomer,Glycolide,1000.00,
,Catalyst,TBD,8.99,
,Initiator,Benzyl Alcohol,18.63,
,,,,
591,Monomer,lactide,1000.07,
,Monomer,B-propiolactone,1000.00,
,Catalyst,TBD,14.49,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,30.01,
,Quenching agent,Benzoic Acid,69.39,
,,,,
592,Monomer,B-propiolactone,249.98,
,Monomer,lactide,1000.00,
,Catalyst,TBD,7.24,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,15.01,
,Quenching agent,Benzoic Acid,34.69,
,,,,
593,Monomer,Glycolide,579.65,
,Monomer,delta-Valerolactone,1000.00,
,Catalyst,TBD,10.43,
,Initiator,Benzyl Alcohol,21.60,
,,,,
594,Monomer,delta-Valerolactone,431.29,
,Monomer,Glycolide,1000.00,
,Catalyst,TBD,8.99,
,Initiator,Benzyl Alcohol,18.63,
,,,,
595,Monomer,lactide,719.79,
,Monomer,delta-Valerolactone,1000.00,
,Catalyst,TBD,10.43,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,21.60,
,Quenching agent,Benzoic Acid,49.94,
,,,,
596,Monomer,delta-Valerolactone,347.33,
,Monomer,lactide,1000.00,
,Catalyst,TBD,7.24,
,Solvent,"THF, Anhydrous",,6.5
,Initiator,Benzyl Alcohol,15.01,
,Quenching agent,Benzoic Acid,34.69,
,,,,
597,Monomer,e-Decalactone,1000.00,
,Catalyst,Triphenyl Bismuth,77.58,
,,,,
598,Monomer,pentadecanolide,1000.00,
,Catalyst,Triphenyl Bismuth,54.95,
,,,,
599,Monomer,16--hexadecanolide,1000.00,
,Catalyst,Triphenyl Bismuth,51.92,
,,,,
600,Monomer,Coumarin,1000.00,
,Catalyst,Triphenyl Bismuth,90.38,
,,,,
601,Monomer,B-butyrolactone,1000.00,
,Catalyst,Triphenyl Bismuth,153.43,
,,,,
602,Monomer,Undecanoic delta-lactone,639.28,
,Monomer,lactide,1000.00,
,Catalyst,triphenyl bismuth,91.64,
,Co-Catalyst,tin octoate,28.10,
,,,,
603,Monomer,delta-Nonalactone,541.94,
,Monomer,lactide,1000.00,
,Catalyst,triphenyl bismuth,91.64,
,Co-Catalyst,tin octoate,28.10,
,,,,
604,Monomer,pentadecanolide,833.90,
,Monomer,lactide,1000.00,
,Catalyst,triphenyl bismuth,91.64,
,Co-Catalyst,tin octoate,28.10,
,,,,
605,Monomer,5-Dodecanolide,1000.00,
,Catalyst,Triphenyl Bismuth,66.61,
,,,,
606,Monomer,B-butyrolactone,298.65,
,Monomer,lactide,1000.00,
,Catalyst,triphenyl bismuth,91.64,
,Co-Catalyst,tin octoate,28.10,
,,,,
607,Monomer,5-Dodecanolide,687.92,
,Monomer,lactide,1000.00,
,Catalyst,triphenyl bismuth,91.64,
,Co-Catalyst,tin octoate,28.10,
,,,,
608,Monomer,16--hexadecanolide,882.57,
,Monomer,lactide,1000.00,
,Catalyst,triphenyl bismuth,91.64,
,Co-Catalyst,tin octoate,28.10,
,,,,
609,Monomer,coumarin,506.97,
,Monomer,lactide,1000.00,
,Catalyst,triphenyl bismuth,91.64,
,Co-Catalyst,tin octoate,28.10,
,,,,
610,Monomer,lactide,423.29,
,Monomer,e-Decalactone,1000.00,
,Catalyst,triphenyl bismuth,77.58,
,Co-Catalyst,tin octoate,23.79,
,,,,
611,Monomer,lactide,428.37,
,Monomer,Massoia Lactone,1000.00,
,Catalyst,triphenyl bismuth,78.52,
,Co-Catalyst,tin octoate,24.07,
,,,,
612,Monomer,lactide,391.06,
,Monomer,Undecanoic delta-lactone,1000.00,
,Catalyst,triphenyl bismuth,71.68,
,Co-Catalyst,tin octoate,21.98,
,,,,
613,Monomer,lactide,461.30,
,Monomer,Delta-nonalactone,1000.00,
,Catalyst,triphenyl bismuth,84.55,
,Co-Catalyst,tin octoate,25.92,
,,,,
614,Monomer,lactide,299.80,
,Monomer,pentadecanolide,1000.00,
,Catalyst,triphenyl bismuth,54.95,
,Co-Catalyst,tin octoate,16.85,
,,,,
616,Monomer,lactide,363.41,
,Monomer,5-Dodecanolide,1000.00,
,Catalyst,triphenyl bismuth,66.61,
,Co-Catalyst,tin octoate,20.42,
,,,,
617,Monomer,lactide,283.26,
,Monomer,16--hexadecanolide,1000.00,
,Catalyst,triphenyl bismuth,51.92,
,Co-Catalyst,tin octoate,15.92,
,,,,
618,Monomer,e-Decalactone,733.39,
,Monomer,glycolide,1000.00,
,Catalyst,triphenyl bismuth,113.80,
,Co-Catalyst,tin octoate,34.89,
,,,,
619,Monomer,Massoia Lactone,724.69,
,Monomer,glycolide,1000.00,
,Catalyst,triphenyl bismuth,113.80,
,Co-Catalyst,tin octoate,34.89,
,,,,
620,Monomer,Undecanoic delta-lactone,793.83,
,Monomer,glycolide,1000.00,
,Catalyst,triphenyl bismuth,113.80,
,Co-Catalyst,tin octoate,34.89,
,,,,
621,Monomer,delta-Nonalactone,672.96,
,Monomer,glycolide,1000.00,
,Catalyst,triphenyl bismuth,113.80,
,Co-Catalyst,tin octoate,34.89,
,,,,
622,Monomer,pentadecanolide,1035.50,
,Monomer,glycolide,1000.00,
,Catalyst,triphenyl bismuth,113.80,
,Co-Catalyst,tin octoate,34.89,
,,,,
623,Monomer,B-butyrolactone,370.85,
,Monomer,glycolide,1000.00,
,Catalyst,triphenyl bismuth,113.80,
,Co-Catalyst,tin octoate,34.89,
,,,,
624,Monomer,5-Dodecanolide,854.23,
,Monomer,glycolide,1000.00,
,Catalyst,triphenyl bismuth,113.80,
,Co-Catalyst,tin octoate,34.89,
,,,,
625,Monomer,Glycolide,1000.00,
,Catalyst,TBD,6.00,
,Initiator,Benzyl Alcohol,18.63,
,,,,
626,Monomer,16--hexadecanolide,1095.93,
,Monomer,glycolide,1000.00,
,Catalyst,triphenyl bismuth,113.80,
,Co-Catalyst,tin octoate,34.89,
,,,,
627,Monomer,coumarin,629.53,
,Monomer,glycolide,1000.00,
,Catalyst,triphenyl bismuth,113.80,
,Co-Catalyst,tin octoate,34.89,
,,,,
628,Monomer,glycolide,340.88,
,Monomer,e-Decalactone,1000.00,
,Catalyst,triphenyl bismuth,77.58,
,Co-Catalyst,tin octoate,23.79,
,,,,
629,Monomer,glycolide,344.97,
,Monomer,Massoia Lactone,1000.00,
,Catalyst,triphenyl bismuth,78.52,
,Co-Catalyst,tin octoate,24.07,
,,,,
630,Monomer,glycolide,314.93,
,Monomer,Undecanoic delta-lactone,1000.00,
,Catalyst,triphenyl bismuth,71.68,
,Co-Catalyst,tin octoate,21.98,
,,,,
631,Monomer,glycolide,371.50,
,Monomer,Delta-nonalactone,1000.00,
,Catalyst,triphenyl bismuth,84.55,
,Co-Catalyst,tin octoate,25.92,
,,,,
632,Monomer,glycolide,241.43,
,Monomer,pentadecanolide,1000.00,
,Catalyst,triphenyl bismuth,54.95,
,Co-Catalyst,tin octoate,16.85,
,,,,
633,Monomer,glycolide,674.12,
,Monomer,B-butyrolactone,1000.00,
,Catalyst,triphenyl bismuth,153.43,
,Co-Catalyst,tin octoate,47.04,
,,,,
634,Monomer,glycolide,292.66,
,Monomer,5-Dodecanolide,1000.00,
,Catalyst,triphenyl bismuth,66.61,
,Co-Catalyst,tin octoate,20.42,
,,,,
635,Monomer,glycolide,228.12,
,Monomer,16--hexadecanolide,1000.00,
,Catalyst,triphenyl bismuth,51.92,
,Co-Catalyst,tin octoate,15.92,
,,,,
636,Monomer,Lactide,620.88,
,Monomer,Glycolide,1000.00,
,Catalyst,TBD,8.99,
,Initiator,Benzyl Alcohol,18.63,
,,,,
637,Monomer,glycolide,397.12,
,Monomer,coumarin,1000.00,
,Catalyst,triphenyl bismuth,90.38,
,Co-Catalyst,tin octoate,27.71,
,,,,
638,Monomer,e-Decalactone,582.49,
,Monomer,coumarin,1000.00,
,Catalyst,triphenyl bismuth,90.38,
,Co-Catalyst,tin octoate,27.71,
,,,,
639,Monomer,Massoia Lactone,575.58,
,Monomer,coumarin,1000.00,
,Catalyst,triphenyl bismuth,90.38,
,Co-Catalyst,tin octoate,27.71,
,,,,
640,Monomer,Undecanoic delta-lactone,630.49,
,Monomer,coumarin,1000.00,
,Catalyst,triphenyl bismuth,90.38,
,Co-Catalyst,tin octoate,27.71,
,,,,
641,Monomer,delta-Nonalactone,534.49,
,Monomer,coumarin,1000.00,
,Catalyst,triphenyl bismuth,90.38,
,Co-Catalyst,tin octoate,27.71,
,,,,
642,Monomer,pentadecanolide,822.43,
,Monomer,coumarin,1000.00,
,Catalyst,triphenyl bismuth,90.38,
,Co-Catalyst,tin octoate,27.71,
,,,,
643,Monomer,B-butyrolactone,294.55,
,Monomer,coumarin,1000.00,
,Catalyst,triphenyl bismuth,90.38,
,Co-Catalyst,tin octoate,27.71,
,,,,
644,Monomer,5-Dodecanolide,678.46,
,Monomer,coumarin,1000.00,
,Catalyst,triphenyl bismuth,90.38,
,Co-Catalyst,tin octoate,27.71,
,,,,
645,Monomer,coumarin,429.19,
,Monomer,e-Decalactone,1000.00,
,Catalyst,triphenyl bismuth,77.58,
,Co-Catalyst,tin octoate,23.79,
,,,,
646,Monomer,Glycolide,402.66,
,Monomer,Lactide,1000.00,
,Catalyst,TBD,7.24,
,Initiator,Benzyl Alcohol,15.01,
,,,,
647,Monomer,coumarin,303.98,
,Monomer,pentadecanolide,1000.00,
