Polymer Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1000.00,
,Base,pyridine,410.88,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
77,Monomer,Isophthaloyl Chloride,832.20,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000.00,
,Base,pyridine,383.19,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
78,Monomer,Isophthaloyl Chloride,785.27,
,Monomer,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000.00,
,Base,pyridine,361.58,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
79,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,"2,7-Naphthalenediol",608.24,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,hexanes,,7.5
,,,,
80,Monomer,Isophthaloyl Chloride,1023.15,
,Monomer,"4,4′-Thiodiphenol",1000.00,
,Base,pyridine,471.11,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
81,Monomer,Isophthaloyl Chloride,802.39,
,Monomer,"4,4′-Sulfonylbis(2-methylphenol)",1000.00,
,Base,pyridine,369.47,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
82,Monomer,Isophthaloyl Chloride,779.97,
,Monomer,"(R)-(+)-1,1′-Binaphthyl-2,2′-diol",1000.00,
,Base,pyridine,359.14,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
83,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,"2-Butyne-1,4-diol",327.27,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,hexanes,,7.5
,,,,
84,Monomer,Isophthaloyl Chloride,1528.56,
,Monomer,Dianhydro-D-glucitol,1000.00,
,Base,NaOH,355.89,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
85,Monomer,Isophthaloyl Chloride,2534.58,
,Monomer,"cis-2-Butene-1,4-diol",1000.00,
,Base,pyridine,1167.06,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
86,Monomer,Isophthaloyl Chloride,2028.17,
,Monomer,Resorcinol,1000.00,
,Base,pyridine,933.88,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
87,Monomer,Isophthaloyl Chloride,1394.28,
,Monomer,"Naphthalene-1,5-diol",1000.00,
,Base,pyridine,642.01,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
88,Monomer,Isophthaloyl Chloride,1394.28,
,Monomer,"2,7-Naphthalenediol",1000.00,
,Base,pyridine,642.01,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
89,Monomer,Terephthaloyl chloride,1889.68,
